frame_ms,capture_ms,ready_ms,id,lane,kind,due_ms,revision
58492,58491,58502,291,1,TAP,58544,false
58508,58507,58519,291,1,TAP,58546,true
58675,58674,58685,292,2,DOWN,58711,false
58841,58840,58851,293,3,UP,58881,false
59010,59010,59020,294,2,TAP,59053,false
59175,59174,59185,295,1,TAP,59220,false
59342,59341,59351,296,2,DOWN,59386,false
59508,59507,59519,297,3,UP,59555,false
59675,59674,59682,298,2,TAP,59727,false
59842,59841,59850,299,3,UP,59893,false
60009,60008,60016,300,1,TAP,60063,false
60192,60191,60200,301,1,TAP,60232,false
60359,60358,60367,302,1,TAP,60399,false
60525,60524,60533,303,2,TAP,60568,false
60692,60691,60701,304,2,TAP,60738,false
60859,60858,60867,305,2,TAP,60905,false
61025,61024,61032,306,2,TAP,61075,false
61192,61191,61201,307,1,TAP,61244,false
61358,61357,61367,308,2,TAP,61411,false
61541,61540,61550,309,2,TAP,61579,false
61708,61707,61715,310,2,TAP,61749,false
61875,61874,61882,311,3,TAP,61916,false
62042,62041,62049,312,3,TAP,62087,false
62209,62208,62217,313,3,TAP,62254,false
62375,62374,62382,314,3,TAP,62422,false
62542,62541,62551,315,1,TAP,62591,false
62709,62708,62716,316,2,UP,62757,false
62875,62874,62883,317,1,TAP,62927,false
63058,63057,63068,318,2,UP,63095,false
63226,63225,63236,319,1,TAP,63265,false
63392,63391,63401,320,2,UP,63432,false
63558,63557,63568,321,1,TAP,63601,false
63725,63724,63734,322,2,UP,63768,false
63892,63891,63896,323,1,TAP,63939,false
64059,64058,64068,324,2,DOWN,64106,false
64225,64224,64232,325,3,TAP,64274,false
65242,65241,65251,326,3,UP,65286,false
65375,65374,65384,327,2,TAP,65425,false
65392,65391,65400,327,2,TAP,65431,true
65409,65408,65418,327,2,TAP,65440,true
65558,65557,65567,328,1,TAP,65608,false
65725,65724,65734,329,3,TAP,65775,false
65892,65891,65902,330,2,UP,65942,false
66075,66074,66085,331,3,TAP,66113,false
66241,66240,66251,332,1,DOWN,66280,false
66409,66408,66418,333,2,TAP,66451,false
66575,66574,66584,334,3,UP,66616,false
66742,66741,66752,335,2,TAP,66787,false
66908,66907,66918,336,1,DOWN,66953,false
67075,67074,67085,337,3,TAP,67124,false
67242,67241,67252,338,1,DOWN,67291,false
67408,67407,67417,339,2,TAP,67462,false
67575,67574,67585,340,3,UP,67629,false
67759,67758,67768,341,2,TAP,67799,false
67925,67924,67934,342,3,UP,67965,false
68092,68091,68101,343,2,TAP,68136,false
68259,68258,68267,344,1,DOWN,68302,false
68425,68424,68435,345,3,TAP,68473,false
