time_ms,gameplay,notes,processing_ms
12845,true,1,0.583
12863,true,1,1.032
12879,true,1,0.547
12896,true,1,0.900
12912,true,1,0.503
12929,true,1,0.596
12946,true,1,0.679
12963,true,1,0.692
12979,true,1,0.665
12995,true,1,0.805
13004,true,1,0.546
13012,true,1,0.596
13029,true,0,0.150
13046,true,0,2.640
13063,true,0,0.483
13079,true,0,0.241
13096,true,0,0.077
13112,true,0,0.104
13129,true,0,0.085
13145,true,0,0.117
13162,true,0,0.116
13179,true,0,0.155
13196,true,1,0.813
13212,true,1,0.704
13229,true,1,0.670
13245,true,1,0.460
13263,true,1,0.898
13280,true,1,0.736
13296,true,1,0.493
13311,true,1,0.753
13328,true,1,0.759
13345,true,1,0.715
13362,true,1,0.789
13379,true,1,0.846
13395,true,1,0.775
13411,true,1,0.638
13428,true,2,0.878
13444,true,2,0.796
13461,true,2,0.882
13477,true,2,1.732
13495,true,2,0.836
13511,true,2,1.079
13528,true,2,1.016
13545,true,2,0.875
13562,true,2,0.916
13579,true,2,1.808
13595,true,2,0.992
13612,true,2,0.894
13629,true,2,0.904
13644,true,2,0.964
13662,true,2,1.954
13678,true,2,1.286
13694,true,1,0.893
13712,true,1,0.470
13729,true,1,0.481
13746,true,1,0.810
13763,true,1,1.006
13780,true,1,0.768
13796,true,1,0.488
13812,true,1,0.526
13829,true,1,0.490
13846,true,1,0.533
13862,true,1,0.527
13879,true,2,0.854
13896,true,2,0.869
13913,true,2,0.851
13928,true,1,0.417
13946,true,1,0.405
13962,true,1,0.484
13979,true,1,0.449
13996,true,1,0.424
14004,true,1,0.413
14012,true,1,0.901
14029,true,1,0.776
14046,true,1,1.357
14062,true,1,0.937
14079,true,1,0.467
14094,true,1,0.457
14112,true,1,0.438
14128,true,1,0.468
14145,true,1,0.467
14162,true,1,0.479
14179,true,1,0.465
14194,true,1,0.504
14211,true,1,0.509
14228,true,1,0.508
14245,true,1,0.544
14261,true,1,0.534
14280,true,1,0.498
14294,true,1,0.736
14311,true,1,0.519
14328,true,2,0.938
14344,true,2,0.897
14362,true,2,0.934
14378,true,1,0.399
14396,true,1,0.418
14412,true,1,0.416
14428,true,1,0.444
14444,true,1,1.101
14463,true,1,0.451
14479,true,1,0.923
14495,true,1,0.416
14512,true,1,0.646
14529,true,1,0.940
14546,true,1,0.948
14562,true,1,0.973
14579,true,1,0.447
14597,true,1,0.517
14612,true,1,0.768
14629,true,1,1.059
14646,true,1,0.463
14662,true,1,0.991
14679,true,1,0.530
14694,true,1,0.513
14711,true,1,0.528
14728,true,1,0.588
14745,true,1,0.536
14762,true,1,0.927
14778,true,1,0.546
14794,true,1,0.645
14811,true,1,0.663
14828,true,1,0.542
14844,true,0,0.105
14862,true,0,0.065
14879,true,0,0.215
14895,true,0,0.297
14913,true,0,0.145
14929,true,1,0.267
14947,true,0,0.066
14962,true,0,0.144
14980,true,0,0.090
14996,true,0,0.082
15003,true,0,0.078
15011,true,1,0.466
15029,true,1,0.419
15046,true,1,0.505
15063,true,1,0.419
15079,true,1,0.428
15096,true,1,0.431
15113,true,1,0.634
15129,true,1,0.568
15144,true,1,0.627
15161,true,1,0.568
15178,true,1,0.479
15194,true,1,0.645
15211,true,1,0.494
15228,true,2,0.809
15244,true,2,0.805
15261,true,2,1.118
15278,true,2,0.868
15295,true,2,0.825
15312,true,2,0.829
15329,true,2,1.264
15345,true,2,0.844
15362,true,2,0.878
15378,true,2,0.847
15395,true,2,0.955
