time_ms,lane,kind,y,score
7391,3,TAP,0.5476103,1.0000
7407,1,TAP,0.7038587,1.0000
7407,2,TAP,0.5567308,1.0000
7407,3,TAP,0.5567308,1.0000
7423,1,TAP,0.7149170,1.0000
7423,2,TAP,0.5668269,1.0000
7423,3,TAP,0.5668213,1.0000
7440,1,TAP,0.7255184,1.0000
7440,2,TAP,0.5760589,1.0000
7440,3,TAP,0.5759709,1.0000
7457,2,TAP,0.5860687,1.0000
7457,3,TAP,0.5860577,1.0000
7474,2,TAP,0.5961538,1.0000
7474,3,TAP,0.5961593,1.0000
7490,2,TAP,0.6062390,1.0000
7490,3,TAP,0.6062362,1.0000
7490,3,TAP,0.4701823,1.0000
7508,2,TAP,0.6158654,1.0000
7508,3,TAP,0.6158599,1.0000
7508,3,TAP,0.4798018,1.0000
7524,2,TAP,0.6259615,1.0000
7524,3,TAP,0.6259806,1.0000
7524,3,TAP,0.4884615,1.0000
7540,2,TAP,0.6360577,1.0000
7540,3,TAP,0.6360631,1.0000
7540,3,TAP,0.4971154,1.0000
7557,2,TAP,0.6466346,1.0000
7557,3,TAP,0.6466346,1.0000
7557,3,TAP,0.5067308,1.0000
7573,1,TAP,0.5158470,1.0000
7573,2,TAP,0.6572223,1.0000
7573,3,TAP,0.6571994,1.0000
7573,3,TAP,0.5158124,1.0000
7590,1,TAP,0.5250056,1.0000
7590,2,TAP,0.6677885,1.0000
7590,3,TAP,0.6677885,1.0000
7590,3,TAP,0.5250096,1.0000
7607,1,TAP,0.5346273,1.0000
7607,2,TAP,0.6783654,1.0000
7607,3,TAP,0.6783681,1.0000
7607,3,TAP,0.5346154,1.0000
7626,1,TAP,0.5437528,1.0000
7626,2,TAP,0.6889423,1.0000
7626,3,TAP,0.6889543,1.0000
7626,3,TAP,0.5437486,1.0000
7657,1,TAP,0.5629724,1.0000
7657,2,TAP,0.7105982,1.0000
7657,3,TAP,0.7101145,1.0000
7657,3,TAP,0.5629724,1.0000
7673,1,TAP,0.5721622,1.0000
7673,2,TAP,0.7211644,1.0000
7673,3,TAP,0.7211644,1.0000
7673,3,TAP,0.5725130,1.0000
7691,1,TAP,0.5821990,1.0000
7691,3,TAP,0.5822018,1.0000
7708,1,TAP,0.5923077,1.0000
7708,3,TAP,0.5923077,1.0000
7724,1,TAP,0.6024038,1.0000
7724,3,TAP,0.6023873,1.0000
7740,1,TAP,0.6120316,1.0000
7740,2,TAP,0.4759812,1.0000
7740,3,TAP,0.6120330,1.0000
7757,1,TAP,0.6221154,1.0000
7757,2,TAP,0.4850962,1.0000
7757,3,TAP,0.6221154,1.0000
7773,1,TAP,0.6322075,1.0000
7773,2,TAP,0.4942308,1.0000
7773,3,TAP,0.6322047,1.0000
7790,1,TAP,0.6427885,1.0000
7790,2,TAP,0.5028846,1.0000
7790,3,TAP,0.6427885,1.0000
7807,1,TAP,0.6528846,1.0000
7807,2,TAP,0.5125000,1.0000
7807,3,TAP,0.6528846,1.0000
7824,1,TAP,0.6634634,1.0000
7824,2,TAP,0.5211538,1.0000
7824,3,TAP,0.6634634,1.0000
7840,1,TAP,0.6744347,1.0000
7840,1,TAP,0.5307692,1.0000
7840,2,TAP,0.5307692,1.0000
7840,3,TAP,0.6745099,1.0000
7857,1,TAP,0.6846154,1.0000
7857,1,TAP,0.5399024,1.0000
7857,2,TAP,0.5399151,1.0000
7857,3,TAP,0.6846154,1.0000
7874,1,TAP,0.6951923,1.0000
7874,1,TAP,0.5498062,1.0000
7874,2,TAP,0.5496919,1.0000
7874,3,TAP,0.6951828,1.0000
7890,1,TAP,0.7062447,1.0000
7890,1,TAP,0.5591416,1.0000
7890,2,TAP,0.5591346,1.0000
7890,3,TAP,0.7062500,1.0000
7907,1,TAP,0.7173077,1.0000
7907,1,TAP,0.5682692,1.0000
7907,2,TAP,0.5682763,1.0000
7907,3,TAP,0.7173077,1.0000
7924,1,TAP,0.7279262,1.0000
7924,1,TAP,0.5783654,1.0000
7924,2,TAP,0.5783821,1.0000
7924,3,TAP,0.7283654,1.0000
7942,1,TAP,0.5884733,1.0000
7942,2,TAP,0.5884724,1.0000
7974,1,TAP,0.6081689,1.0000
7974,2,TAP,0.6081731,1.0000
7991,1,TAP,0.6182692,1.0000
7991,2,TAP,0.6182692,1.0000
8008,1,TAP,0.6283708,1.0000
8008,2,TAP,0.6283654,1.0000
8024,1,TAP,0.6384738,1.0000
8024,2,TAP,0.6384615,1.0000
8041,1,TAP,0.6485671,1.0000
8041,2,TAP,0.6485427,1.0000
8057,1,TAP,0.6591400,1.0000
8057,1,TAP,0.5177741,1.0000
8057,2,TAP,0.6591346,1.0000
8074,1,TAP,0.6697115,1.0000
8074,1,TAP,0.5269231,1.0000
8074,2,TAP,0.6697115,1.0000
8091,1,TAP,0.6802938,1.0000
8091,1,TAP,0.5365504,1.0000
8091,2,TAP,0.6802885,1.0000
8107,1,TAP,0.6908786,1.0000
8107,1,TAP,0.5461634,1.0000
8107,2,TAP,0.6908654,1.0000
8124,1,TAP,0.7019434,1.0000
8124,1,TAP,0.5552941,1.0000
8124,2,TAP,0.7019231,1.0000
8140,1,TAP,0.7129939,1.0000
8140,1,TAP,0.5648968,1.0000
8140,2,TAP,0.7129860,1.0000
8158,1,TAP,0.7240243,1.0000
8158,1,TAP,0.5745318,1.0000
8158,2,TAP,0.7240437,1.0000
8174,1,TAP,0.5846091,1.0000
8191,1,TAP,0.5942308,1.0000
8207,1,TAP,0.6043269,1.0000
8225,1,TAP,0.6139423,1.0000
8241,1,TAP,0.6245274,1.0000
8257,1,TAP,0.6346092,1.0000
8274,1,TAP,0.6444331,1.0000
8291,1,TAP,0.6552750,1.0000
8307,1,TAP,0.6658654,1.0000
8324,1,TAP,0.6764423,1.0000
8324,1,TAP,0.5326923,1.0000
8341,1,TAP,0.6870246,1.0000
8341,1,TAP,0.5422950,1.0000
8357,1,TAP,0.6980644,1.0000
8357,1,TAP,0.5514593,1.0000
8373,1,TAP,0.7086538,1.0000
8373,1,TAP,0.5615385,1.0000
8390,1,TAP,0.7197115,1.0000
8390,1,TAP,0.5706843,1.0000
8407,1,TAP,0.5807638,1.0000
8424,1,TAP,0.5903901,1.0000
8441,1,TAP,0.6004931,1.0000
8457,1,TAP,0.6100934,1.0000
8474,1,TAP,0.6206731,1.0000
8491,1,TAP,0.6307692,1.0000
8507,1,TAP,0.6408749,1.0000
8524,1,TAP,0.6514490,1.0000
8541,1,TAP,0.6620327,1.0000
8541,1,TAP,0.5201923,1.0000
8557,1,TAP,0.6721100,1.0000
8557,1,TAP,0.5288462,1.0000
8573,1,TAP,0.6826977,1.0000
8573,1,TAP,0.5384671,1.0000
8573,2,TAP,0.4726151,1.0000
8590,1,TAP,0.6937500,1.0000
8590,1,TAP,0.5480888,1.0000
8590,2,TAP,0.4817308,1.0000
8607,1,TAP,0.7043362,1.0000
8607,1,TAP,0.5576963,1.0000
8607,2,TAP,0.4903846,1.0000
8624,1,TAP,0.7153970,1.0000
8624,1,TAP,0.5673077,1.0000
8624,2,TAP,0.4995192,1.0000
8641,1,TAP,0.7264449,1.0000
8641,1,TAP,0.5769285,1.0000
8641,2,TAP,0.5086538,1.0000
8657,1,TAP,0.5865408,1.0000
8657,2,TAP,0.5182692,1.0000
8674,1,TAP,0.5966443,1.0000
8674,2,TAP,0.5269936,1.0000
8690,1,TAP,0.6062376,1.0000
8690,2,TAP,0.5365385,1.0000
8707,1,TAP,0.6168269,1.0000
8707,2,TAP,0.5461538,1.0000
8724,1,TAP,0.6264559,1.0000
8724,2,TAP,0.5557692,1.0000
8741,1,TAP,0.6370315,1.0000
8741,2,TAP,0.5653846,1.0000
8757,1,TAP,0.6476056,1.0000
8757,2,TAP,0.5750000,1.0000
8774,1,TAP,0.6572021,1.0000
8774,2,TAP,0.5846169,1.0000
8790,1,TAP,0.6677885,1.0000
8790,2,TAP,0.5947115,1.0000
8807,1,TAP,0.6788546,1.0000
8807,1,TAP,0.5346273,1.0000
8807,2,TAP,0.6048077,1.0000
8824,1,TAP,0.6894374,1.0000
8824,1,TAP,0.5442300,1.0000
8824,2,TAP,0.6144438,1.0000
8841,1,TAP,0.7004794,1.0000
8841,1,TAP,0.5538462,1.0000
8841,2,TAP,0.6245192,1.0000
8857,1,TAP,0.7110630,1.0000
8857,1,TAP,0.5634490,1.0000
8857,2,TAP,0.6350962,1.0000
8874,1,TAP,0.7221101,1.0000
8874,1,TAP,0.5730864,1.0000
8874,2,TAP,0.6447238,1.0000
8891,1,TAP,0.5831591,1.0000
8891,2,TAP,0.6553155,1.0000
8908,1,TAP,0.5927885,1.0000
8908,2,TAP,0.6658654,1.0000
8924,1,TAP,0.6024038,1.0000
8924,2,TAP,0.6764423,1.0000
8941,1,TAP,0.6125093,1.0000
8941,2,TAP,0.6870192,1.0000
8958,1,TAP,0.6225907,1.0000
8958,2,TAP,0.6980769,1.0000
8974,1,TAP,0.6331595,1.0000
8974,2,TAP,0.7091610,1.0000
8990,1,TAP,0.6432692,1.0000
8990,2,TAP,0.7201923,1.0000
9007,1,TAP,0.6533587,1.0000
9007,1,TAP,0.5125056,1.0000
9024,1,TAP,0.6639544,1.0000
9024,1,TAP,0.5221275,1.0000
9041,1,TAP,0.6745072,1.0000
9041,1,TAP,0.5312137,1.0000
9057,1,TAP,0.6850962,1.0000
9057,1,TAP,0.5403791,1.0000
9057,2,TAP,0.4750246,1.0000
9074,1,TAP,0.6956638,1.0000
9074,1,TAP,0.5500055,1.0000
9074,2,TAP,0.4836538,1.0000
9091,1,TAP,0.7067308,1.0000
9091,1,TAP,0.5596280,1.0000
9091,2,TAP,0.4927885,1.0000
9107,1,TAP,0.7177885,1.0000
9107,1,TAP,0.5692308,1.0000
9107,2,TAP,0.5019231,1.0000
9124,1,TAP,0.7288562,1.0000
9124,1,TAP,0.5793214,1.0000
9124,2,TAP,0.5105769,1.0000
9141,1,TAP,0.5889548,1.0000
9141,2,TAP,0.5201923,1.0000
9158,1,TAP,0.5982302,1.0000
9158,2,TAP,0.5298077,1.0000
9174,1,TAP,0.6086414,1.0000
9174,2,TAP,0.5384615,1.0000
9190,1,TAP,0.6187500,1.0000
9190,2,TAP,0.5480769,1.0000
9207,1,TAP,0.6293215,1.0000
9207,2,TAP,0.5576923,1.0000
9225,1,TAP,0.6389559,1.0000
9225,2,TAP,0.5673077,1.0000
9242,1,TAP,0.6495327,1.0000
9242,2,TAP,0.5769231,1.0000
9258,1,TAP,0.6597337,1.0000
9258,2,TAP,0.5870137,1.0000
9274,1,TAP,0.6706677,1.0000
9274,2,TAP,0.5966790,1.0000
9291,1,TAP,0.6812553,1.0000
9291,1,TAP,0.5370192,1.0000
9291,2,TAP,0.6067308,1.0000
9307,1,TAP,0.6918388,1.0000
9307,1,TAP,0.5461658,1.0000
9307,2,TAP,0.6168269,1.0000
9324,1,TAP,0.7024171,1.0000
9324,1,TAP,0.5557692,1.0000
9324,2,TAP,0.6269231,1.0000
9340,1,TAP,0.7134657,1.0000
9340,1,TAP,0.5653752,1.0000
9340,2,TAP,0.6370192,1.0000
9358,1,TAP,0.7245075,1.0000
9358,1,TAP,0.5754849,1.0000
9358,2,TAP,0.6476111,1.0000
9374,1,TAP,0.5850934,1.0000
9374,2,TAP,0.6581784,1.0000
9391,1,TAP,0.5947115,1.0000
9391,2,TAP,0.6687500,1.0000
9407,1,TAP,0.6048077,1.0000
9407,1,TAP,0.4697059,1.0000
9407,2,TAP,0.6788462,1.0000
9424,1,TAP,0.6148942,1.0000
9424,1,TAP,0.4783654,1.0000
9424,2,TAP,0.6899038,1.0000
9440,1,TAP,0.6245438,0.9027
9440,1,TAP,0.4875000,1.0000
9440,2,TAP,0.7004808,1.0000
9440,3,TAP,0.4874941,1.0000
9457,1,TAP,0.6350839,1.0000
9457,1,TAP,0.4966458,1.0000
9457,2,TAP,0.7115532,1.0000
9457,3,TAP,0.4961893,1.0000
9474,1,TAP,0.6456731,1.0000
9474,1,TAP,0.5057733,1.0000
9474,2,TAP,0.7221154,1.0000
9474,3,TAP,0.5057692,1.0000
9491,1,TAP,0.6557547,1.0000
9491,1,TAP,0.5144110,1.0000
9491,3,TAP,0.5144133,1.0000
9507,1,TAP,0.6663734,1.0000
9507,1,TAP,0.5240514,1.0000
9507,3,TAP,0.5240385,1.0000
9525,1,TAP,0.6769237,1.0000
9525,1,TAP,0.5336578,1.0000
9525,3,TAP,0.5336482,1.0000
9541,1,TAP,0.6875096,1.0000
9541,1,TAP,0.5426174,1.0000
9541,3,TAP,0.5427469,1.0000
9557,1,TAP,0.6980781,1.0000
9557,1,TAP,0.5523982,1.0000
9557,3,TAP,0.5523982,1.0000
9574,1,TAP,0.7096154,1.0000
9574,1,TAP,0.5615345,1.0000
9574,3,TAP,0.5615345,1.0000
9590,1,TAP,0.7201923,1.0000
9590,1,TAP,0.5716332,1.0000
9590,3,TAP,0.5716360,1.0000
9590,3,TAP,0.4399038,0.9000
9607,1,TAP,0.5812403,1.0000
9607,3,TAP,0.5812444,1.0000
9607,3,TAP,0.4471154,0.9000
9624,1,TAP,0.5908709,1.0000
9624,3,TAP,0.5908654,1.0000
9641,1,TAP,0.6009708,1.0000
9641,3,TAP,0.6009708,1.0000
9641,3,TAP,0.4649038,0.9000
9657,1,TAP,0.6110618,1.0000
9657,2,TAP,0.4750196,1.0000
9657,3,TAP,0.6110673,1.0000
9657,3,TAP,0.4730769,0.9000
9674,1,TAP,0.6206786,1.0000
9674,2,TAP,0.4836538,1.0000
9674,3,TAP,0.6206896,1.0000
9674,3,TAP,0.4822115,0.9000
9690,1,TAP,0.6312446,1.0000
9690,2,TAP,0.4927885,1.0000
9690,3,TAP,0.6312446,1.0000
9690,3,TAP,0.4918269,0.9000
9707,1,TAP,0.6413515,1.0000
9707,2,TAP,0.5019231,1.0000
